,Unnamed: 0,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome,Date,Opponent,Home_Barrels,Home_Barrel %,Home_Max EV,Home_Avg EV,Home_Launch Angle,Home_xBA,Home_xSLG,Home_xWOBA,Home_WOBA,Home_Hard Hit %,,Away_Barrels,Away_Barrel %,Away_Max EV,Away_Avg EV,Away_Launch Angle,Away_xBA,Away_xSLG,Away_xWOBA,Away_WOBA,Away_Hard Hit %
315,2461,17883,Tigers,0,13,7,4/6/2016,on grass,Day Game,Marlins,1,10,3,4:57 p.m. Local,Marlins Park,Wednesday,71,0, in unknown direction,In Dome,10,3.366666667,regular season,0,1,Loss,4/6/2016,Tigers,1,3.4,106.5,81.3,7.5,0.268,0.368,0.323,0.352,13.8,,3,10,112.5,85.9,16,0.274,0.548,0.364,0.375,46.7
339,2462,10298,Red Sox,1,10,6,4/6/2016,on grass,Night Game,Indians,0,9,7,6:22 p.m. Local,Progressive Field,Wednesday,60,7, out to Leftfield,Unknown,13,3.483333333,regular season,1,0,Win,4/6/2016,Red Sox,4,15.4,110.3,89.2,20,0.367,0.655,0.502,0.396,50,,4,12.5,111.8,85.7,17.7,0.309,0.639,0.443,0.464,31.3
370,5,28386,Mariners,1,11,10,4/5/2016,on grass,Night Game,Rangers,1,7,2,7:07 p.m. Local,Globe Life Park in Arlington,Tuesday,81,12, from Right to Left,Cloudy,12,3.5,regular season,0,1,Loss,4/5/2016,Mariners,0,0,113,76.8,17.4,0.186,0.264,0.273,0.283,22.7,,1,4,107.1,84.1,26.3,0.15,0.246,0.221,0.284,24
391,6,12757,Blue Jays,0,9,2,4/5/2016,on turf,Night Game,Rays,1,7,3,7:10 p.m. Local,Tropicana Field,Tuesday,72,0, in unknown direction,In Dome,5,3.116666667,regular season,1,0,Win,4/5/2016,Blue Jays,3,14.3,107.9,88,16.3,0.235,0.461,0.308,0.307,38.1,,0,0,107.2,83,14.2,0.226,0.321,0.262,0.231,43.5
408,7,28329,Dodgers,0,6,3,4/5/2016,on grass,Night Game,Padres,1,2,0,7:11 p.m. Local,Petco Park,Tuesday,70,6, from Left to Right,Unknown,3,2.6,regular season,0,1,Loss,4/5/2016,Dodgers,0,0,101.9,82.8,8.7,0.094,0.101,0.088,0.061,16.7,,2,7.4,106,78.6,16,0.234,0.39,0.32,0.305,29.6
429,8,26049,Cardinals,1,8,5,4/5/2016,on grass,Night Game,Pirates,2,12,6,7:08 p.m. Local,PNC Park,Tuesday,40,7, out to Leftfield,Sunny,11,3.45,regular season,1,0,Win,4/5/2016,Cardinals,1,3.3,109.9,86.2,15,0.281,0.419,0.328,0.295,50,,1,3.2,111,84,12.4,0.259,0.421,0.311,0.333,41.9
437,9,10478,White Sox,0,11,5,4/5/2016,on grass,Night Game,Athletics,0,10,4,7:08 p.m. Local,Oakland-Alameda County Coliseum,Tuesday,70,8, out to Rightfield,Cloudy,9,3.466666667,regular season,0,1,Loss,4/5/2016,White Sox,1,3.7,109.4,80.8,10.7,0.233,0.323,0.267,0.29,29.6,,2,7.1,106.8,89.1,7.3,0.293,0.495,0.346,0.245,39.3
479,11,24123,Giants,0,7,2,4/5/2016,on grass,Night Game,Brewers,0,6,1,7:10 p.m. Local,Miller Park,Tuesday,64,0, in unknown direction,In Dome,3,2.483333333,regular season,0,1,Loss,4/5/2016,Giants,0,0,114.7,85,10.5,0.256,0.372,0.271,0.193,38.5,,5,13.5,110.8,87.2,19.3,0.332,0.667,0.434,0.379,35.1
506,12,36911,Tigers,1,12,8,4/5/2016,on grass,Night Game,Marlins,2,10,7,7:37 p.m. Local,Marlins Park,Tuesday,77,16, from Left to Right,Sunny,15,3.783333333,regular season,0,1,Loss,4/5/2016,Tigers,1,3,110.6,81.5,14.9,0.236,0.359,0.292,0.299,36.4,,2,8.3,106.2,86.1,29.7,0.206,0.411,0.317,0.259,45.8
533,2444,39782,Mets,0,6,2,4/5/2016,on grass,Day Game,Royals,0,3,0,3:16 p.m. Local,Kauffman Stadium,Tuesday,68,17, from Right to Left,Sunny,2,2.85,regular season,0,1,Loss,4/5/2016,Mets,1,5.3,110.2,81.8,9.5,0.158,0.219,0.18,0.137,26.3,,4,14.8,108.6,87.6,19.6,0.268,0.625,0.372,0.324,33.3
