,Unnamed: 0,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,date,field_type,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,day_of_week,temperature,wind_speed,wind_direction,sky,total_runs,game_hours_dec,season,home_team_win,home_team_loss,home_team_outcome,Date,Opponent,Home_Barrels,Home_Barrel %,Home_Max EV,Home_Avg EV,Home_Launch Angle,Home_xBA,Home_xSLG,Home_xWOBA,Home_WOBA,Home_Hard Hit %,,Away_Barrels,Away_Barrel %,Away_Max EV,Away_Avg EV,Away_Launch Angle,Away_xBA,Away_xSLG,Away_xWOBA,Away_WOBA,Away_Hard Hit %
17781,230,41401,Mariners,1,5,4,7/30/2016,on grass,Day Game,Cubs,1,3,1,1:20 p.m. Local,Wrigley Field,Saturday,75,12, in from Rightfield,Unknown,5,2.616666667,regular season,0,1,Loss,7/30/2016,Mariners,0,0,103,81.4,17.9,0.162,0.223,0.201,0.13,31.3,,0,0,101.8,81.5,15.8,0.22,0.29,0.237,0.16,24.1
17808,231,38236,Phillies,0,9,9,7/30/2016,on grass,Night Game,Braves,2,14,5,7:11 p.m. Local,Turner Field,Saturday,81,9, out to Rightfield,Unknown,14,3.666666667,regular season,0,1,Loss,7/30/2016,Phillies,1,3,108.3,84.1,17.6,0.35,0.494,0.366,0.343,33.3,,4,15.4,105.7,80,19.5,0.242,0.463,0.344,0.303,38.5
17834,232,43150,Red Sox,0,6,2,7/30/2016,on grass,Night Game,Angels,0,8,5,6:07 p.m. Local,Angel Stadium of Anaheim,Saturday,82,12, out to Centerfield,Sunny,7,3.1,regular season,1,0,Win,7/30/2016,Red Sox,2,8.3,109.1,88.9,14.7,0.301,0.526,0.392,0.343,37.5,,2,5,107.5,88.3,9.4,0.308,0.45,0.329,0.366,37.5
17867,1145,47305,Orioles,0,5,1,7/30/2016,on turf,Day Game,Blue Jays,0,10,9,1:08 p.m. Local,Rogers Centre,Saturday,73,17, in from Rightfield,Unknown,10,2.866666667,regular season,1,0,Win,7/30/2016,Orioles,2,9.1,107.3,84.9,13.7,0.209,0.319,0.299,0.407,40.9,,0,0,104.8,79.4,16.3,0.311,0.375,0.336,0.294,17.4
17914,1146,47125,Royals,0,5,1,7/30/2016,on grass,Night Game,Rangers,0,8,2,7:40 p.m. Local,Globe Life Park in Arlington,Saturday,95,11, in from Centerfield,Sunny,3,2.683333333,regular season,1,0,Win,7/30/2016,Royals,1,4,111,83,21.4,0.251,0.373,0.282,0.29,24,,1,5,101.2,79.4,18.9,0.218,0.343,0.281,0.227,25
17945,1147,25883,Yankees,0,5,3,7/30/2016,on turf,Night Game,Rays,1,7,6,6:09 p.m. Local,Tropicana Field,Saturday,72,0, in unknown direction,In Dome,9,2.783333333,regular season,1,0,Win,7/30/2016,Yankees,2,8,107.4,84,28.1,0.271,0.581,0.378,0.353,40,,0,0,104.5,81.1,12.5,0.258,0.375,0.288,0.346,29.6
17961,233,40419,Marlins,0,9,2,8/2/2016,on grass,Night Game,Cubs,1,9,3,7:07 p.m. Local,Wrigley Field,Tuesday,81,1, in unknown direction,Sunny,5,2.8,regular season,1,0,Win,8/2/2016,Marlins,0,0,104.1,85.4,13.2,0.228,0.275,0.278,0.325,23.8,,2,9.5,113.2,83.3,18.2,0.216,0.318,0.244,0.165,38.1
18005,1108,12625,Royals,2,9,3,8/2/2016,on turf,Night Game,Rays,0,9,2,7:10 p.m. Local,Tropicana Field,Tuesday,72,0, in unknown direction,In Dome,5,3.066666667,regular season,0,1,Loss,8/2/2016,Royals,0,0,113,83.3,16.2,0.232,0.293,0.287,0.293,38.5,,2,8,108.3,89.6,13.3,0.28,0.492,0.347,0.307,44
18026,1109,25240,Red Sox,0,6,4,8/2/2016,on grass,Night Game,Mariners,0,8,5,7:10 p.m. Local,Safeco Field,Tuesday,70,1, in unknown direction,Cloudy,9,2.5,regular season,1,0,Win,8/2/2016,Red Sox,2,7.7,107.4,84.3,15.2,0.283,0.471,0.323,0.302,34.6,,1,3.6,112,85.6,10,0.269,0.394,0.322,0.205,42.9
18061,1110,26152,Brewers,0,11,3,8/2/2016,on grass,Night Game,Padres,0,6,2,7:09 p.m. Local,Petco Park,Tuesday,75,11, from Left to Right,Sunny,5,3,regular season,0,1,Loss,8/2/2016,Brewers,0,0,108.9,84.4,11.4,0.203,0.229,0.222,0.196,28,,3,9.7,109.1,86.3,15.7,0.266,0.424,0.374,0.324,35.5
18092,1111,23351,Giants,1,10,8,8/2/2016,on grass,Night Game,Phillies,1,15,13,7:07 p.m. Local,Citizens Bank Park,Tuesday,79,10, from Right to Left,Unknown,21,3.266666667,regular season,1,0,Win,8/2/2016,Giants,3,10.7,114.1,85,12.9,0.276,0.448,0.339,0.461,39.3,,1,4.8,110.8,82.4,25.8,0.179,0.258,0.277,0.281,28.6
18118,1112,42819,Yankees,2,6,1,8/2/2016,on grass,Night Game,Mets,0,10,7,7:11 p.m. Local,Citi Field,Tuesday,75,8, from Right to Left,Cloudy,8,2.65,regular season,1,0,Win,8/2/2016,Yankees,2,6.7,110.4,85.5,11.3,0.271,0.443,0.306,0.347,36.7,,1,5.6,106.4,78.3,10.9,0.154,0.202,0.203,0.224,22.2
18135,1113,24399,Blue Jays,0,8,2,8/2/2016,on grass,Night Game,Astros,0,7,1,7:11 p.m. Local,Minute Maid Park,Tuesday,73,0, in unknown direction,In Dome,3,2.666666667,regular season,0,1,Loss,8/2/2016,Blue Jays,1,3.8,103.2,81.3,11.1,0.227,0.341,0.247,0.191,38.5,,0,0,109,85.1,7.8,0.201,0.215,0.234,0.202,21.7
18190,1114,30316,White Sox,0,11,5,8/2/2016,on grass,Night Game,Tigers,0,13,11,7:10 p.m. Local,Comerica Park,Tuesday,83,9, from Left to Right,Sunny,16,3.116666667,regular season,1,0,Win,8/2/2016,White Sox,6,18.8,109.5,87.2,20,0.332,0.72,0.478,0.487,37.5,,2,10,109,86.3,20.2,0.243,0.477,0.327,0.263,55
18218,1115,32607,Dodgers,1,5,3,8/2/2016,on grass,Night Game,Rockies,0,11,7,6:41 p.m. Local,Coors Field,Tuesday,86,7, out to Centerfield,Overcast,10,3.466666667,regular season,1,0,Win,8/2/2016,Dodgers,0,0,105,81.4,14.1,0.36,0.438,0.423,0.409,42.3,,0,0,110.8,84,12.9,0.311,0.39,0.327,0.251,39.3
18235,1116,15835,Twins,0,14,10,8/2/2016,on grass,Night Game,Indians,0,13,6,7:10 p.m. Local,Progressive Field,Tuesday,82,14, in from Rightfield,Sunny,16,3.55,regular season,0,1,Loss,8/2/2016,Twins,3,8.8,111.1,87.1,10.6,0.304,0.549,0.387,0.393,38.2,,1,3.8,108.1,83.6,14.9,0.216,0.321,0.232,0.269,38.5
18276,1117,25270,Cardinals,1,10,5,8/2/2016,on grass,Night Game,Reds,0,12,7,7:10 p.m. Local,Great American Ball Park,Tuesday,87,6, from Left to Right,Overcast,12,3.366666667,regular season,1,0,Win,8/2/2016,Cardinals,2,7.4,105,81.1,10.2,0.249,0.466,0.358,0.439,40.7,,2,8,114.9,85,13.5,0.214,0.391,0.307,0.277,40
18300,1118,22230,Rangers,0,3,1,8/2/2016,on grass,Night Game,Orioles,0,9,5,7:07 p.m. Local,Oriole Park at Camden Yards,Tuesday,81,5, in from Rightfield,Cloudy,6,2.716666667,regular season,1,0,Win,8/2/2016,Rangers,2,10.5,110.5,88.5,18.7,0.255,0.481,0.336,0.433,47.4,,2,7.4,108.1,80.5,1.6,0.211,0.362,0.268,0.349,22.2
18318,1119,20633,Pirates,1,5,5,8/2/2016,on grass,Night Game,Braves,0,9,3,7:11 p.m. Local,Turner Field,Tuesday,79,6, out to Centerfield,Cloudy,8,3.333333333,regular season,0,1,Loss,8/2/2016,Pirates,1,3.8,105.8,82.1,19.7,0.217,0.303,0.272,0.322,26.9,,2,6.9,102.6,82.6,20,0.253,0.431,0.34,0.364,34.5
18352,1120,19919,Nationals,1,15,10,8/2/2016,on grass,Night Game,D-Backs,1,11,4,6:40 p.m. Local,Chase Field,Tuesday,79,0, in unknown direction,In Dome,14,3.3,regular season,0,1,Loss,8/2/2016,Nationals,4,13.3,108.7,86.5,19.8,0.248,0.502,0.343,0.359,36.7,,2,9.1,103.1,82.7,21.2,0.172,0.315,0.249,0.253,36.4
18374,1121,36052,Athletics,2,9,4,8/2/2016,on grass,Night Game,Angels,0,7,5,7:09 p.m. Local,Angel Stadium of Anaheim,Tuesday,80,9, out to Centerfield,Cloudy,9,2.75,regular season,1,0,Win,8/2/2016,Athletics,2,7.7,106.3,87.1,9.9,0.271,0.538,0.38,0.33,38.5,,2,10.5,110,87.2,4.7,0.27,0.422,0.321,0.305,42.1
18429,234,35986,Blue Jays,0,5,2,8/6/2016,on grass,Night Game,Royals,1,11,4,6:14 p.m. Local,Kauffman Stadium,Saturday,81,9, in from Rightfield,Cloudy,6,2.6,regular season,1,0,Win,8/6/2016,Blue Jays,2,6.7,112.4,84,16.7,0.327,0.467,0.354,0.327,46.7,,3,10,115.9,84.8,16.4,0.304,0.616,0.417,0.415,40
18435,235,42272,Rangers,0,13,3,8/6/2016,on grass,Night Game,Astros,0,9,2,6:09 p.m. Local,Minute Maid Park,Saturday,73,0, in unknown direction,In Dome,5,3.116666667,regular season,0,1,Loss,8/6/2016,Rangers,1,4.5,103.9,80.7,-6.5,0.235,0.33,0.303,0.301,31.8,,2,8.7,108.4,83.4,20.9,0.256,0.459,0.326,0.235,43.5
18490,236,41053,Mets,0,14,5,8/6/2016,on grass,Night Game,Tigers,3,10,6,7:10 p.m. Local,Comerica Park,Saturday,80,7, from Right to Left,Cloudy,11,3.316666667,regular season,1,0,Win,8/6/2016,Mets,1,3.6,107.1,83.7,19.3,0.312,0.481,0.391,0.38,42.9,,3,8.8,111.9,87.7,17.5,0.333,0.612,0.423,0.475,52.9
18518,237,37699,Marlins,0,10,6,8/6/2016,on grass,Night Game,Rockies,1,17,12,6:10 p.m. Local,Coors Field,Saturday,80,4, in from Centerfield,Cloudy,18,3.416666667,regular season,1,0,Win,8/6/2016,Marlins,1,3.6,112.2,87,18.1,0.353,0.483,0.394,0.476,50,,3,10.3,105.3,84.5,22.6,0.269,0.553,0.364,0.415,24.1
18552,238,28491,Orioles,0,6,2,8/6/2016,on grass,Night Game,White Sox,1,10,4,6:10 p.m. Local,U.S. Cellular Field,Saturday,82,9, out to Rightfield,Sunny,6,2.933333333,regular season,1,0,Win,8/6/2016,Orioles,3,13,105.5,82.9,18.2,0.334,0.561,0.413,0.421,47.8,,0,0,109.1,81.9,21,0.179,0.221,0.24,0.147,35
18562,239,29370,Brewers,3,19,15,8/6/2016,on grass,Night Game,D-Backs,0,8,6,5:10 p.m. Local,Chase Field,Saturday,79,0, in unknown direction,In Dome,21,4,regular season,0,1,Loss,8/6/2016,Brewers,2,6.1,109.2,87.4,15.2,0.298,0.484,0.372,0.313,51.5,,1,4,108.5,82.4,19.5,0.187,0.279,0.259,0.226,40
18599,1063,36404,Giants,0,14,7,8/6/2016,on grass,Night Game,Nationals,0,8,1,7:06 p.m. Local,Nationals Park,Saturday,84,10, out to Rightfield,Cloudy,8,3.483333333,regular season,0,1,Loss,8/6/2016,Giants,0,0,109.8,85.6,14.3,0.298,0.388,0.353,0.287,37,,3,11.5,110.7,86.1,16,0.247,0.507,0.357,0.381,46.2
18635,1064,15603,Twins,2,7,3,8/6/2016,on turf,Night Game,Rays,1,10,7,6:10 p.m. Local,Tropicana Field,Saturday,72,0, in unknown direction,In Dome,10,3.15,regular season,1,0,Win,8/6/2016,Twins,1,3.6,109.2,84.7,28.5,0.208,0.395,0.29,0.385,32.1,,2,8.7,106.4,85.3,20,0.236,0.463,0.316,0.208,39.1
18650,1065,45468,Braves,0,15,13,8/6/2016,on grass,Night Game,Cardinals,2,11,5,6:15 p.m. Local,Busch Stadium III,Saturday,84,9, from Left to Right,Cloudy,18,3.35,regular season,0,1,Loss,8/6/2016,Braves,2,6.7,110.6,86.8,9.9,0.293,0.429,0.334,0.34,50,,1,3.1,109.3,86.5,15.6,0.259,0.424,0.323,0.412,31.3
18686,1066,45618,Angels,1,10,6,8/6/2016,on grass,Night Game,Mariners,0,10,8,6:41 p.m. Local,Safeco Field,Saturday,70,2, from Left to Right,Cloudy,14,3.016666667,regular season,1,0,Win,8/6/2016,Angels,5,17.9,111.5,88.1,25.2,0.323,0.712,0.469,0.427,53.6,,3,9.1,107.7,81,18.4,0.25,0.43,0.319,0.396,27.3
18721,1067,37453,Phillies,0,9,7,8/6/2016,on grass,Night Game,Padres,3,14,9,5:45 p.m. Local,Petco Park,Saturday,76,10, from Left to Right,Cloudy,16,3.283333333,regular season,1,0,Win,8/6/2016,Phillies,1,3.2,107.9,85.5,9.5,0.338,0.448,0.382,0.429,35.5,,1,3.1,115.8,84.1,-3.3,0.259,0.36,0.331,0.378,37.5
18753,1068,34259,Reds,1,7,3,8/6/2016,on grass,Night Game,Pirates,0,9,5,7:06 p.m. Local,PNC Park,Saturday,81,10, out to Centerfield,Cloudy,8,2.633333333,regular season,1,0,Win,8/6/2016,Reds,1,4.8,104.5,83.3,7.3,0.224,0.335,0.294,0.317,42.9,,0,0,108.2,84.1,24.9,0.153,0.199,0.197,0.218,33.3
18766,1069,32358,Cubs,0,8,4,8/6/2016,on grass,Day Game,Athletics,1,4,0,1:07 p.m. Local,Oakland-Alameda County Coliseum,Saturday,63,6, out to Rightfield,Unknown,4,2.933333333,regular season,0,1,Loss,8/6/2016,Cubs,0,0,106.3,82.8,24,0.202,0.281,0.24,0.165,32,,2,7.7,108.9,84,22.6,0.287,0.445,0.338,0.437,50
18823,1070,37264,Indians,0,10,5,8/6/2016,on grass,Day Game,Yankees,0,6,2,1:08 p.m. Local,Yankee Stadium III,Saturday,84,10, out to Leftfield,Overcast,7,2.983333333,regular season,0,1,Loss,8/6/2016,Indians,0,0,103.9,80.6,15,0.236,0.304,0.252,0.204,35,,1,4.3,103,82.9,14.7,0.196,0.289,0.262,0.251,26.1
18833,1071,47696,Red Sox,0,5,0,8/6/2016,on grass,Day Game,Dodgers,0,11,3,1:05 p.m. Local,Dodger Stadium,Saturday,79,4, out to Rightfield,Sunny,3,2.9,regular season,1,0,Win,8/6/2016,Red Sox,0,0,102.7,81.7,19.9,0.256,0.287,0.251,0.306,17.4,,3,8.8,107.5,83.9,9,0.286,0.497,0.365,0.461,26.5
18869,240,34036,Giants,1,4,1,8/5/2016,on grass,Night Game,Nationals,0,6,5,7:05 p.m. Local,Nationals Park,Friday,80,10, out to Leftfield,Cloudy,6,2.433333333,regular season,1,0,Win,8/5/2016,Giants,3,12.5,111.3,88.4,24.6,0.255,0.474,0.324,0.3,41.7,,4,12.5,110.2,82.1,19.8,0.31,0.635,0.426,0.372,37.5
18905,241,12161,Twins,0,10,6,8/5/2016,on turf,Night Game,Rays,1,7,2,7:10 p.m. Local,Tropicana Field,Friday,72,0, in unknown direction,In Dome,8,2.95,regular season,0,1,Loss,8/5/2016,Twins,3,12,108.7,87.8,22.4,0.24,0.459,0.308,0.249,40,,4,13.8,107.3,87.1,9.5,0.284,0.587,0.381,0.335,51.7
18920,242,42421,Braves,0,3,0,8/5/2016,on grass,Night Game,Cardinals,0,2,1,7:16 p.m. Local,Busch Stadium III,Friday,83,4, from Left to Right,Unknown,1,2.466666667,regular season,1,0,Win,8/5/2016,Braves,0,0,104.7,83.7,16.3,0.15,0.208,0.272,0.206,18.2,,3,12,105.6,83.2,12,0.316,0.553,0.382,0.307,40
18956,243,40354,Angels,1,3,4,8/5/2016,on grass,Night Game,Mariners,1,14,6,7:10 p.m. Local,Safeco Field,Friday,74,1, in unknown direction,Sunny,10,2.866666667,regular season,1,0,Win,8/5/2016,Angels,3,8.8,109.1,85.7,23.4,0.294,0.475,0.358,0.396,38.2,,2,6.7,107.1,83.1,18.5,0.241,0.437,0.328,0.264,40
18991,244,27521,Phillies,0,6,5,8/5/2016,on grass,Night Game,Padres,0,10,4,7:40 p.m. Local,Petco Park,Friday,72,12, out to Rightfield,Cloudy,9,2.916666667,regular season,0,1,Loss,8/5/2016,Phillies,1,3.4,109.6,79.5,15.5,0.283,0.428,0.324,0.356,20.7,,3,12.5,108.4,81.9,11.5,0.22,0.389,0.334,0.416,20.8
19023,245,28882,Reds,2,6,2,8/5/2016,on grass,Night Game,Pirates,0,6,3,7:07 p.m. Local,PNC Park,Friday,84,6, out to Centerfield,Cloudy,5,3.066666667,regular season,1,0,Win,8/5/2016,Reds,2,10,103.5,84.7,14.7,0.236,0.437,0.316,0.285,30,,0,0,104.2,84.5,15.5,0.189,0.23,0.216,0.17,38.1
19036,1072,25182,Cubs,0,11,7,8/5/2016,on grass,Night Game,Athletics,0,6,2,7:09 p.m. Local,Oakland-Alameda County Coliseum,Friday,59,11, out to Rightfield,Sunny,9,2.933333333,regular season,0,1,Loss,8/5/2016,Cubs,1,4.5,110,80.6,13.7,0.255,0.424,0.303,0.226,45.5,,1,4.8,102.5,80.6,11.1,0.186,0.28,0.215,0.184,19
19093,1073,39252,Indians,0,11,7,8/5/2016,on grass,Night Game,Yankees,0,16,13,7:08 p.m. Local,Yankee Stadium III,Friday,78,15, from Right to Left,Cloudy,20,3.65,regular season,1,0,Win,8/5/2016,Indians,0,0,103.3,86.6,10.7,0.26,0.363,0.328,0.503,25.7,,2,7.1,110.9,84.8,22.9,0.275,0.516,0.36,0.373,28.6
19103,1074,52728,Red Sox,0,10,9,8/5/2016,on grass,Night Game,Dodgers,2,3,0,7:11 p.m. Local,Dodger Stadium,Friday,72,7, from Left to Right,Sunny,9,2.816666667,regular season,0,1,Loss,8/5/2016,Red Sox,0,0,98,80.2,26.5,0.123,0.216,0.161,0.123,23.8,,1,5.9,106.1,86.9,-2,0.159,0.229,0.186,0.123,47.1
19149,1075,31831,Blue Jays,2,8,4,8/5/2016,on grass,Night Game,Royals,0,8,3,7:15 p.m. Local,Kauffman Stadium,Friday,78,6, from Left to Right,Unknown,7,2.666666667,regular season,0,1,Loss,8/5/2016,Blue Jays,1,3.6,100.6,86.3,10.2,0.251,0.402,0.302,0.277,35.7,,2,10,110.4,90.5,14.4,0.219,0.47,0.327,0.23,55
19155,1076,32820,Rangers,1,3,0,8/5/2016,on grass,Night Game,Astros,0,9,5,7:10 p.m. Local,Minute Maid Park,Friday,73,0, in unknown direction,In Dome,5,2.233333333,regular season,1,0,Win,8/5/2016,Rangers,2,7.4,109.9,88.3,14,0.294,0.446,0.352,0.316,40.7,,1,3.4,109.6,87.6,21.8,0.243,0.409,0.289,0.213,37.9
19210,1077,33032,Mets,0,5,3,8/5/2016,on grass,Night Game,Tigers,0,8,4,7:10 p.m. Local,Comerica Park,Friday,84,5, out to Leftfield,Cloudy,7,2.916666667,regular season,1,0,Win,8/5/2016,Mets,3,13.6,109,86.3,19.5,0.254,0.47,0.331,0.3,45.5,,0,0,101.7,81.2,11.1,0.202,0.231,0.253,0.233,8.7
19238,1078,27888,Marlins,1,8,5,8/5/2016,on grass,Night Game,Rockies,2,11,3,6:40 p.m. Local,Coors Field,Friday,70,9, in from Leftfield,Unknown,8,3.4,regular season,0,1,Loss,8/5/2016,Marlins,1,3.4,107.5,85.8,12.8,0.28,0.37,0.326,0.32,34.5,,2,7.7,112.3,85.6,15,0.244,0.402,0.298,0.361,34.6
19272,1079,26553,Orioles,4,16,7,8/5/2016,on grass,Night Game,White Sox,1,10,5,7:11 p.m. Local,U.S. Cellular Field,Friday,87,8, from Left to Right,Cloudy,12,3.316666667,regular season,0,1,Loss,8/5/2016,Orioles,1,3.3,105.6,84.3,8.9,0.297,0.419,0.347,0.327,36.7,,0,0,106.3,86.3,16.4,0.243,0.33,0.304,0.366,26.9
19282,1080,20008,Brewers,1,6,2,8/5/2016,on grass,Night Game,D-Backs,2,7,3,6:40 p.m. Local,Chase Field,Friday,78,0, in unknown direction,In Dome,5,3.9,regular season,1,0,Win,8/5/2016,Brewers,2,6.9,106.9,84.9,14.8,0.202,0.34,0.265,0.265,27.6,,2,6.7,110.3,86.8,11.3,0.307,0.5,0.379,0.374,46.7
19327,246,38089,Yankees,0,7,3,8/9/2016,on grass,Night Game,Red Sox,1,9,5,7:10 p.m. Local,Fenway Park,Tuesday,75,17, from Right to Left,Cloudy,8,3.216666667,regular season,1,0,Win,8/9/2016,Yankees,1,3.8,104.8,85.1,22.6,0.251,0.448,0.311,0.336,46.2,,1,3.7,109.3,86.7,23.5,0.25,0.441,0.365,0.355,48.1
19349,1025,30978,Indians,2,5,3,8/9/2016,on grass,Night Game,Nationals,1,6,1,7:05 p.m. Local,Nationals Park,Tuesday,79,3, out to Leftfield,Overcast,4,2.916666667,regular season,0,1,Loss,8/9/2016,Indians,2,8,112.3,87.5,14.6,0.218,0.386,0.292,0.249,40,,1,4.3,108.3,85.4,-9.3,0.188,0.233,0.215,0.148,30.4
19367,1026,43134,Rays,0,15,9,8/9/2016,on turf,Night Game,Blue Jays,2,6,2,7:07 p.m. Local,Rogers Centre,Tuesday,77,6, out to Leftfield,Unknown,11,2.933333333,regular season,0,1,Loss,8/9/2016,Rays,1,3.4,103.7,82.2,21.6,0.211,0.327,0.266,0.22,24.1,,1,5,104.8,84.7,22.6,0.155,0.271,0.196,0.188,45
19400,1027,40113,Reds,0,11,7,8/9/2016,on grass,Night Game,Cardinals,2,9,4,7:15 p.m. Local,Busch Stadium III,Tuesday,88,5, in from Rightfield,Sunny,11,2.95,regular season,0,1,Loss,8/9/2016,Reds,2,8.7,109.2,87.3,22.7,0.248,0.4,0.334,0.388,52.2,,1,3.4,109.8,82.6,6.7,0.264,0.342,0.322,0.277,48.3
19436,1028,19713,Tigers,1,16,5,8/9/2016,on grass,Night Game,Mariners,0,16,6,7:10 p.m. Local,Safeco Field,Tuesday,70,1, in unknown direction,Unknown,11,4.85,regular season,1,0,Win,8/9/2016,Tigers,3,7.5,105.3,80.6,20.6,0.257,0.388,0.304,0.318,30,,3,7.9,115,87.2,20.5,0.404,0.677,0.462,0.406,52.6
19473,1029,30269,Padres,2,7,4,8/9/2016,on grass,Night Game,Pirates,0,10,6,7:41 p.m. Local,PNC Park,Tuesday,86,5, in from Centerfield,Unknown,10,3.233333333,regular season,1,0,Win,8/9/2016,Padres,1,4,111,87.3,4.2,0.208,0.355,0.318,0.379,44,,3,11.5,107.1,81.7,22.6,0.253,0.472,0.356,0.293,42.3
19486,1030,13573,Orioles,0,3,1,8/9/2016,on grass,Night Game,Athletics,0,6,2,7:07 p.m. Local,Oakland-Alameda County Coliseum,Tuesday,64,11, out to Rightfield,Sunny,3,2.416666667,regular season,1,0,Win,8/9/2016,Orioles,0,0,109.1,84.9,15.4,0.306,0.396,0.38,0.275,44,,2,11.1,106.1,81.7,27.9,0.146,0.274,0.193,0.176,33.3
19571,1032,22261,Astros,0,12,7,8/9/2016,on grass,Night Game,Twins,1,9,5,7:10 p.m. Local,Target Field,Tuesday,85,7, from Right to Left,Cloudy,12,3.066666667,regular season,0,1,Loss,8/9/2016,Astros,1,4,106.9,88.8,21,0.206,0.353,0.285,0.38,32,,1,3.3,105.7,82,15.5,0.264,0.356,0.333,0.422,36.7
19579,1033,20048,Braves,0,6,2,8/9/2016,on grass,Night Game,Brewers,1,4,1,7:10 p.m. Local,Miller Park,Tuesday,84,13, in from Centerfield,Cloudy,3,2.883333333,regular season,0,1,Loss,8/9/2016,Braves,1,4.5,108.9,87.4,2.5,0.241,0.348,0.31,0.243,27.3,,0,0,103,85.6,10.9,0.24,0.303,0.303,0.355,29.4
19617,1034,19636,Giants,0,3,0,8/9/2016,on grass,Night Game,Marlins,1,4,2,7:11 p.m. Local,Marlins Park,Tuesday,78,0, in unknown direction,In Dome,2,2.966666667,regular season,1,0,Win,8/9/2016,Giants,0,0,111.7,78.4,16.1,0.172,0.195,0.256,0.243,27.8,,4,8.9,109.9,84.3,17,0.296,0.523,0.372,0.332,44.4
19643,1035,42859,Phillies,0,9,3,8/9/2016,on grass,Night Game,Dodgers,0,13,9,7:09 p.m. Local,Dodger Stadium,Tuesday,75,8, from Left to Right,Sunny,12,3.283333333,regular season,1,0,Win,8/9/2016,Phillies,3,12,106.9,86.9,21.2,0.348,0.56,0.412,0.471,48,,2,8.7,110.4,86,18.5,0.276,0.475,0.384,0.36,39.1
19689,1036,27134,White Sox,1,14,7,8/9/2016,on grass,Night Game,Royals,0,10,5,7:16 p.m. Local,Kauffman Stadium,Tuesday,88,6, in from Rightfield,Cloudy,12,3.083333333,regular season,0,1,Loss,8/9/2016,White Sox,0,0,109.3,85.4,22.5,0.212,0.296,0.232,0.264,37.9,,1,4.3,108.4,84.6,2.3,0.189,0.34,0.256,0.178,34.8
19718,1037,27671,Rangers,0,11,7,8/9/2016,on grass,Day Game,Rockies,0,11,5,1:10 p.m. Local,Coors Field,Tuesday,91,5, out to Centerfield,Sunny,12,3.233333333,regular season,0,1,Loss,8/9/2016,Rangers,1,3.4,106.6,83.4,3.9,0.237,0.352,0.299,0.365,37.9,,1,4.5,109.3,81.7,12.9,0.208,0.372,0.283,0.336,40.9
19731,1038,41227,Angels,1,3,1,8/9/2016,on grass,Night Game,Cubs,0,8,5,7:06 p.m. Local,Wrigley Field,Tuesday,82,3, from Right to Left,Unknown,6,2.366666667,regular season,1,0,Win,8/9/2016,Angels,4,16.7,107.7,83.8,18.5,0.238,0.553,0.342,0.357,25,,2,6.7,110.5,85,15.1,0.32,0.514,0.367,0.381,33.3
19757,247,46330,Astros,0,12,5,8/12/2016,on turf,Night Game,Blue Jays,1,7,3,7:07 p.m. Local,Rogers Centre,Friday,82,13, out to Rightfield,Unknown,8,2.816666667,regular season,0,1,Loss,8/12/2016,Astros,2,8.3,111.8,85.1,16.4,0.203,0.393,0.266,0.309,37.5,,0,0,108.4,85.1,5,0.197,0.227,0.25,0.251,36.4
19804,248,31190,Tigers,0,7,5,8/12/2016,on grass,Night Game,Rangers,2,13,8,9:47 p.m. Local,Globe Life Park in Arlington,Friday,80,8, from Right to Left,Unknown,13,3,regular season,1,0,Win,8/12/2016,Tigers,2,6.7,105.7,87.2,22.2,0.294,0.506,0.36,0.454,50,,0,0,102.2,80.5,20.1,0.164,0.21,0.225,0.159,30.4
19824,249,41479,Orioles,0,10,5,8/12/2016,on grass,Night Game,Giants,1,5,2,7:15 p.m. Local,AT&T Park,Friday,59,11, from Left to Right,Sunny,7,3.016666667,regular season,0,1,Loss,8/12/2016,Orioles,0,0,104.3,85.5,18.6,0.196,0.28,0.236,0.197,37.5,,2,7.7,105.7,81.6,24.2,0.247,0.413,0.304,0.312,26.9
19862,250,23600,Rockies,3,8,6,8/12/2016,on grass,Night Game,Phillies,1,11,10,7:42 p.m. Local,Citizens Bank Park,Friday,88,9, out to Rightfield,Unknown,16,3.416666667,regular season,1,0,Win,8/12/2016,Rockies,1,4,108.8,83.2,15.7,0.283,0.41,0.356,0.381,48,,2,5.9,107.2,85.4,12.3,0.32,0.465,0.348,0.345,47.1
19876,251,14073,Mariners,0,4,3,8/12/2016,on grass,Night Game,Athletics,0,12,6,7:07 p.m. Local,Oakland-Alameda County Coliseum,Friday,67,10, out to Rightfield,Sunny,9,2.316666667,regular season,1,0,Win,8/12/2016,Mariners,2,6.7,108.4,85.6,11.2,0.316,0.473,0.339,0.354,40,,0,0,105.9,84.9,15.8,0.224,0.33,0.247,0.303,30.8
19918,252,24422,Padres,0,6,8,8/12/2016,on grass,Night Game,Mets,0,8,6,7:10 p.m. Local,Citi Field,Friday,90,10, out to Rightfield,Cloudy,14,3.116666667,regular season,0,1,Loss,8/12/2016,Padres,0,0,105.9,82.2,15.5,0.238,0.338,0.295,0.29,27.6,,2,9.1,110.6,80.4,15.9,0.235,0.393,0.283,0.149,40.9
